#ra, dec, redshift, g_ab, r_ab, i_ab, z_ab, absmag_r_total, bulge_n, disk_n, BulgeHalfLightRadius, gal_type, mass_stellar, mass_halo
10.0009, 0.0002, 0.2202, 22.6244, 21.7185, 21.3102, 21.0889, -19.5010, 4.0000, 1.0000, 0.0000, nan, 0.1792, 4.6475
10.0006, 0.0002, 0.9710, 27.2077, 26.8181, 26.1828, 25.6860, -18.3596, 4.0000, 1.0000, 0.0000, nan, 0.0507, 4.7336
10.0035, 0.0014, 0.6020, 26.3328, 25.4995, 24.9745, 24.7908, -18.0355, 4.0000, 1.0000, 0.0000, nan, 0.0465, 4.1312
10.0031, 0.0004, 0.4693, 26.0782, 24.6969, 24.1747, 23.8848, -18.2383, 4.0000, 1.0000, 0.1293, nan, 0.0908, 1.7213
10.0041, 0.0003, 0.4287, 24.2331, 23.1295, 22.7492, 22.5088, -19.4129, 4.0000, 1.0000, 0.0000, nan, 0.2404, 10.5000
10.0012, 0.0039, 0.3472, 27.3345, 26.3005, 25.9343, 25.7239, -15.5815, 4.0000, 1.0000, 0.0000, nan, 0.0054, 2.3238
10.0024, 0.0023, 0.9433, 29.1600, 27.8482, 26.8499, 26.2009, -18.0264, 4.0000, 1.0000, 0.0000, nan, 0.0376, 2.7541
10.0008, 0.0025, 1.0595, 26.1548, 25.7892, 25.7089, 25.5442, -18.2607, 4.0000, 1.0000, 0.0000, nan, 0.0173, 3.7869
10.0023, 0.0007, 0.7200, 28.7407, 27.9984, 27.1538, 26.8970, -16.3831, 4.0000, 1.0000, 0.0000, nan, 0.0101, 2.1516
10.0083, 0.0027, 1.0201, 28.0278, 27.7618, 27.5814, 27.2993, -16.6690, 4.0000, 1.0000, 0.0000, nan, 0.0065, 1.1189
10.0085, 0.0018, 1.3885, 26.8035, 26.8936, 26.7625, 26.5745, -19.0835, 4.0000, 1.0000, 0.0000, nan, 0.0626, 2.4098
10.0085, 0.0003, 0.3605, 24.2662, 23.4378, 23.1567, 22.9814, -18.5870, 4.0000, 1.0000, 0.0000, nan, 0.0918, 6.2828
10.0092, 0.0003, 0.1844, 26.5416, 25.7795, 25.4412, 25.2643, -14.4627, 4.0000, 1.0000, 0.0000, nan, 0.0032, 1.5492
10.0087, 0.0006, 1.5263, 24.0275, 24.0015, 23.7503, 23.6483, -22.0553, 4.0000, 1.0000, 0.1307, nan, 0.7345, 28.9181
10.0096, 0.0002, 0.3173, 27.5066, 26.3974, 26.0029, 25.8118, -15.2796, 4.0000, 1.0000, 0.0000, nan, 0.0053, 1.5492
10.0063, 0.0033, 0.5975, 25.9835, 25.0853, 24.5160, 24.3026, -18.5387, 4.0000, 1.0000, 0.0000, nan, 0.0864, 3.2705
