#Wavelength(nm)  Transmission(%)
          1400   -0.005810727
        1399.5    0.004996606
          1399    0.018588103
        1398.5   -0.008491904
          1398   -0.006171843
        1397.5   -0.000855508
          1397    0.007832727
        1396.5    0.019149335
          1396   -0.019738516
        1395.5   -0.012224771
          1395    0.022365265
        1394.5    0.007254624
          1394    0.018043522
        1393.5   -0.000143119
          1393    0.011077889
        1392.5    0.009014752
          1392    0.015392018
        1391.5    0.015533751
          1391    0.001496948
        1390.5    0.007908635
          1390    0.009981307
        1389.5   -0.000963145
          1389    0.006590433
        1388.5    0.012817232
          1388    0.000928782
        1387.5    0.012333279
          1387       8.96E-05
        1386.5    0.000258967
          1386    0.018045444
        1385.5    0.003046294
          1385    0.012610291
        1384.5    0.009124726
          1384    0.012686745
        1383.5    0.009648219
          1383    0.018327247
        1382.5    0.018910056
          1382    0.012217721
        1381.5     0.01647939
          1381     0.01581008
        1380.5    0.018931253
          1380    0.021287544
        1379.5    0.026101176
          1379    0.029311039
        1378.5    0.036712948
          1378    0.024810657
        1377.5    0.025598219
          1377    0.043045677
        1376.5    0.028297579
          1376    0.033494208
        1375.5    0.042783733
          1375    0.033627655
        1374.5     0.04857308
          1374    0.047882471
        1373.5    0.048659626
          1373    0.065057844
        1372.5    0.050333373
          1372    0.050671678
        1371.5    0.067678347
          1371        0.05968
        1370.5     0.07112544
          1370    0.065348953
        1369.5    0.077208728
          1369    0.075408772
        1368.5    0.078106985
          1368    0.090517253
        1367.5    0.096729584
          1367    0.102314927
        1366.5    0.109162904
          1366      0.1093852
        1365.5    0.122714639
          1365    0.127588928
        1364.5    0.145877197
          1364    0.141709879
        1363.5    0.162939057
          1363    0.167138755
        1362.5    0.188184857
          1362    0.192674726
        1361.5    0.232520521
          1361    0.236871213
        1360.5    0.266033351
          1360    0.282417089
        1359.5    0.314556539
          1359    0.354249716
        1358.5    0.385924697
          1358    0.417355061
        1357.5    0.458956271
          1357    0.501456738
        1356.5    0.553397059
          1356    0.597931325
        1355.5    0.656559646
          1355     0.73760283
        1354.5    0.801743567
          1354    0.882924616
        1353.5    0.963776946
          1353    1.052495241
        1352.5    1.162518978
          1352    1.301766634
        1351.5     1.40629971
          1351    1.531771898
        1350.5    1.662016273
          1350    1.837881804
        1349.5    2.012676239
          1349    2.201889753
        1348.5    2.402468681
          1348    2.619254351
        1347.5    2.854471445
          1347    3.133607388
        1346.5     3.46252799
          1346    3.789535046
        1345.5    4.175587177
          1345    4.557066917
        1344.5     4.99764061
          1344    5.492875576
        1343.5    6.109904289
          1343    6.818394184
        1342.5    7.558849335
          1342    8.356104851
        1341.5    9.241731644
          1341    10.26043034
        1340.5     11.4810667
          1340    12.92350006
        1339.5     14.5827322
          1339    16.20681381
        1338.5    18.04845428
          1338    20.12007523
        1337.5    22.60153198
          1337    25.52944183
        1336.5     28.5808239
          1336    31.95898819
        1335.5    35.36478424
          1335    38.89797211
        1334.5    42.98987579
          1334     47.3182106
        1333.5    51.89465714
          1333    56.31440735
        1332.5    60.20016098
          1332    63.88900375
        1331.5    67.50405121
          1331    71.06045532
        1330.5    74.30310059
          1330     76.9286499
        1329.5    79.02001953
          1329    80.72738647
