#wl(nm) T%120K
2400 0.698705554
2399.5 0.569854558
2399 0.207386792
2398.5 0.332213372
2398 0.325618655
2397.5 0.359341919
2397 0.438717693
2396.5 0.27600342
2396 0.233432442
2395.5 0.323733985
2395 0.354408324
2394.5 0.352232844
2394 0.511675596
2393.5 0.24690631
2393 0.434490889
2392.5 0.491428047
2392 0.435994059
2391.5 0.33681953
2391 0.406293482
2390.5 0.451384962
2390 0.300494731
2389.5 0.332837254
2389 0.435145885
2388.5 0.375318915
2388 0.349825531
2387.5 0.336832374
2387 0.373222858
2386.5 0.448975444
2386 0.429500222
2385.5 0.393413425
2385 0.412713081
2384.5 0.338537633
2384 0.513026595
2383.5 0.273444831
2383 0.488804877
2382.5 0.405565739
2382 0.382720113
2381.5 0.397700489
2381 0.240643814
2380.5 0.382131815
2380 0.324692994
2379.5 0.456853628
2379 0.343778372
2378.5 0.336400479
2378 0.587126017
2377.5 0.347002417
2377 0.428721547
2376.5 0.250032246
2376 0.236910209
2375.5 0.365941346
2375 0.44035086
2374.5 0.518713534
2374 0.435820967
2373.5 0.419671416
2373 0.476480424
2372.5 0.455386668
2372 0.355395377
2371.5 0.507229447
2371 0.45762527
2370.5 0.471120179
2370 0.521998167
2369.5 0.428595871
2369 0.418874472
2368.5 0.483930677
2368 0.553553641
2367.5 0.604857504
2367 0.518732011
2366.5 0.63728565
2366 0.382793874
2365.5 0.437833279
2365 0.674002647
2364.5 0.553817213
2364 0.486700743
2363.5 0.596353591
2363 0.594265938
2362.5 0.602099001
2362 0.673044145
2361.5 0.53785795
2361 0.653085887
2360.5 0.599780023
2360 0.639594138
2359.5 0.596461952
2359 0.677057147
2358.5 0.773065269
2358 0.772458553
2357.5 0.767232895
2357 0.817992151
2356.5 0.659176707
2356 0.801542103
2355.5 0.865475476
2355 1.001214743
2354.5 1.024179578
2354 0.921272278
2353.5 0.948119164
2353 1.061723351
2352.5 1.047054172
2352 1.025971055
2351.5 1.077526689
2351 1.151884317
2350.5 1.205401659
2350 1.222746134
2349.5 1.304120541
2349 1.230033159
2348.5 1.394565701
2348 1.451441765
2347.5 1.35653317
2347 1.416862488
2346.5 1.637663364
2346 1.519046664
2345.5 1.745970964
2345 1.800224423
2344.5 1.749098539
2344 1.798374891
2343.5 1.955163717
2343 1.931149006
2342.5 2.020941257
2342 2.23321867
2341.5 2.297890902
2341 2.155599356
2340.5 2.417384624
2340 2.513786316
2339.5 2.48198247
2339 2.70638752
2338.5 2.872449636
2338 3.008654833
2337.5 3.019846916
2337 2.986983299
2336.5 3.285898685
2336 3.443812132
2335.5 3.502003908
2335 3.658106089
2334.5 3.823658943
2334 3.854156017
2333.5 4.233097076
2333 4.452946186
2332.5 4.510600567
2332 4.901043415
2331.5 4.819853783
2331 5.121593952
2330.5 5.48754549
2330 5.568123817
2329.5 6.005833626
2329 6.236682892
2328.5 6.460644245
2328 6.694764137
2327.5 6.692248344
2327 7.444777489
2326.5 7.66217947
2326 7.970928192
2325.5 8.266705513
2325 8.697203636
2324.5 9.151556015
2324 9.520255089
2323.5 10.0382061
2323 10.4812727
2322.5 10.96973038
2322 11.49032688
2321.5 11.96920586
2321 12.51280308
2320.5 13.34015846
2320 14.02804279
2319.5 14.44680119
2319 15.25267029
2318.5 15.88843918
